"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Water","2018-09-22","Ponds Lake",NA,NA,"Other",0.465920285736579,0.487158380408492,0.49849861378635,0.509696932774303,0.529509215772714
"Substrate","2018-06-16","Gibson Lakes",NA,NA,"Uncertain",0.0335878781251285,0.0367711861005712,0.0386463477031752,0.0407723981455149,0.0466215296793116
"Substrate","2018-06-16","Gibson Lakes",NA,NA,"NonInhibitory",0.00041399583159298,0.000537949649372901,0.00061250022443101,0.000692049939219886,0.000863052268771718
"Substrate","2018-06-16","Gibson Lakes",NA,NA,"Inhibitory",0.00599650855178755,0.0101171812975679,0.0128270637730295,0.0159256275314713,0.022355112432394
"Substrate","2018-06-16","Gibson Lakes",NA,NA,"Other",0.935779308229762,0.943843832855665,0.94762713674945,0.950904355300607,0.956473977492929
"Substrate","2018-06-23","Ponds Lake",NA,NA,"Uncertain",0.0358600581573393,0.0410464441170357,0.0436317724346038,0.0460541107191418,0.0510225009965357
"Substrate","2018-06-23","Ponds Lake",NA,NA,"NonInhibitory",0.000470298543924264,0.000580533165959744,0.000650247042355634,0.000724015551775525,0.000892667835444541
"Substrate","2018-06-23","Ponds Lake",NA,NA,"Inhibitory",0.00221104557250963,0.00268403002999406,0.00303472635548808,0.00347048009738316,0.00484056795533094
"Substrate","2018-06-23","Ponds Lake",NA,NA,"Other",0.944911036399179,0.950262593813254,0.952619542861249,0.955144595449753,0.960392244991214
"Substrate","2018-06-30","Gibson Lakes",NA,NA,"Uncertain",0.0273887630708348,0.0295330300588127,0.0307146447503315,0.03191104917654,0.0351527114428247
"Substrate","2018-06-30","Gibson Lakes",NA,NA,"NonInhibitory",0.000459456687514975,0.000550629341633494,0.00060343359763375,0.000658658281752667,0.000777199431794692
